z1,z2-z5
278.73,291.60
334.96,341.02
359.77,377.35
430.88,437.45
375.28,380.20
495.85,501.02
568.56,700.34
568.56,694.99
607.65,619.69
538.79,700.39
505.01,739.04
610.57,620.62
2006.34,2598.20
837.67,1047.72
837.67,1201.38
698.61,702.03
862.62,866.37
723.54,1085.84
524.61,772.25
241.97,564.67
688.18,1066.21
740.66,1087.46
860.47,1104.72
1048.91,1187.62
830.26,1436.09
819.56,1404.49
1099.95,1450.18
1078.27,2738.31
1179.01,2474.33
1061.55,1948.72
1464.04,2506.99
1352.61,2486.43
1361.51,2504.00
858.94,1466.06
992.86,1765.30
678.87,1909.88
