755.546,753.045,737.055,736.193
580.738,609.081,577.807,568.186
832.575,856.59,848.74,807.225
690.878,661.157,694.914,668.817
798.084,793.423,789.39,668.331
623.732,687.612,777.94,637.914
878.798,1032.82,1138.74,1275.08
908.807,906.108,1091.27,1566.28
696.871,744.169,776.603,793.431
1280.87,1075.87,1334.24,1306.84
1162.92,1201.4,1264,1760.34
896.367,716.091,939.778,1057.78
1328.28,1423.04,2095.69,1752.91
2278.48,1910.5,985.437,2016.48
2575.1,1227.41,2453.05,3010.81
724.321,781.73,887.198,784.078
718.244,662.904,821.845,746.454
2130.64,1666.5,2388.11,3384.16
2189.16,2202.54,2455.92,3013.61
2618.69,2854.29,2916.32,3144.24
3041.35,2774.53,3203.4,3351.1
2865.94,3199.59,3154.01,3415.66
2978.24,2913.57,3224.61,3442.47
2137.72,2778.37,3169.54,3166.75
3163.82,3316.51,3277.87,3375.86
2185.06,2848.24,3102.48,3184.5
3298.15,3222.62,3452.85,3473.64
3288.04,3308.81,3441.35,3514.6
3289.14,3431.57,3493.33,3473.54
3282.4,3352.42,3465.62,3427.13
3288.63,3394.13,3363.98,3452.56
3327.64,3389.6,3464.74,3498.3
3348.08,3388.87,3444.12,3485.68
3290.22,3380.86,3403.81,3516.92
3330.88,3388.74,3458.72,3813.47
3400.36,3420.92,3449.06,3730.65
