278.735,284.529,294.259,278.735
334.974,352.167,334.974,334.974
387.714,394.732,364.466,358.413
430.896,445.495,447.384,430.896
375.292,381.701,383.887,388.98
495.862,499.09,498.33,495.862
725.471,689.194,700.727,657.781
716.719,741.128,692.486,609.91
607.665,607.665,625.11,607.665
692.964,638.997,711.358,687.832
710.917,713.665,801.549,656.046
610.587,610.02,614.251,610.251
2585.74,2454.38,2610.45,2557.22
1038.79,1145.67,1122.63,1203.87
1020.5,1176.49,1240.11,1163.16
698.626,698.626,703.636,698.626
870.881,861.811,861.811,861.811
1011.76,1084.06,1123.16,925.653
762.743,779.794,792.376,656.335
533.174,541.171,549.994,541.091
1010.76,1132.76,998.312,937.182
1046.92,1072.34,1067.18,987.876
1046,1087.68,1078.98,947.004
1190.7,1097.79,1125.27,1062.97
1424.71,1395.22,1439.85,1248.08
1300.59,1389.63,1447.83,1317.43
1333.41,1402.31,1345.25,1320.32
2635.99,2629.2,2736.92,2447.26
2249.1,2169.56,2373.63,2274.49
1843.7,1884.24,1875.52,1665.01
2304.62,2358.01,2476.62,2203.43
2332.8,2314.16,2342.77,2138.51
2301.57,2410.21,2486.74,2173.12
1208.36,1258.66,1277.86,1179.45
1396.16,1499.19,1570.16,1384.8
1784.67,1855.82,1786.57,1717.82
